prioritas_cek;Kode Barang;Nama Barang;Kategori Barang;is_event_driven;catatan;pct_hari_nol;adi_rata2;rata2_saat_bergerak;jml_cabang;total_kuantitas
2;FGS-00054;India Salaam Basmati Rice @1kg;Barang Jadi (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;94.5;19.9;1.3;22;164
2;FGS.00048;Kambing Oven - FG;Barang Jadi (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;99.5;187.3;1.3;1;4
2;Kalender;Kalender;Barang Umum;false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;95.2;22.6;1.7;47;1542
2;FGS-00042;Meet Jelly Kopi Susu;Minuman - FG;false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;93.0;22.0;1.3;43;1102
2;FGS-00043;Meet Jelly Teh Tarik;Minuman - FG;false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;90.7;13.9;1.3;57;3555
2;PCG-00024;Botol Sambal;Packaging;false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;94.8;25.1;1.2;50;1575
2;PCG-00036;Paper Lunch Tray;Packaging;false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;92.6;25.0;1.6;15;573
2;FGS-00044;Kentang Mustofa Rabeg;Snack (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;92.9;17.7;1.1;30;599
2;FGS-00045;Kentang Mustofa Balado;Snack (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;91.1;14.0;1.1;28;664
2;FGS-00046;Kentang Mustofa Keju Asin;Snack (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;93.2;18.9;1.1;27;513
2;FGS-00047;Kentang Mustofa Rumput Laut;Snack (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;92.2;16.0;1.1;26;476
2;FGS-00048;Kentang Mustofa Mie Goreng;Snack (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;92.9;16.9;1.1;26;550
2;FGS-00055;Chicken Kebab;Snack (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;90.4;13.0;1.4;56;3575
2;FGS-00056;Beef Kebab;Snack (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;91.1;15.0;1.5;56;3564
3;FGS-00001;Ayam Kebuli (0.9);Barang Jadi (FG);false;;1.6;1.0;87.2;59;3201722
3;FGS-00002;Kambing Kebuli;Barang Jadi (FG);false;;11.8;1.2;7.9;59;258793
3;FGS-00003;Iga Sapi Kebuli;Barang Jadi (FG);false;;33.9;2.0;3.4;44;26358
3;FGS-00004;Nasi Kebuli;Barang Jadi (FG);false;;1.6;1.0;113.5;59;4166432
3;FGS-00005;Sambal - FG;Barang Jadi (FG);false;;1.6;1.0;117.4;59;4309464
3;FGS-00011;Saus Extra Delmonte @8gr;Barang Jadi (FG);false;;79.0;5.4;5.0;5;1324
3;FGS-00012;Samosa Beef Original (RM);Barang Jadi (FG);false;;71.6;4.3;6.8;56;65781
3;FGS-00013;Samosa Beef Spicy (RM);Barang Jadi (FG);false;;74.5;4.2;6.3;55;53641
3;FGS-00051;Iga Jontor - FG;Barang Jadi (FG);false;;85.3;9.0;1.9;8;245
3;FGS-00052;Iga Sapi Original - FG;Barang Jadi (FG);false;;25.0;1.4;3.4;59;64026
3;FGS-00053;Ayam Kebuli (0.6);Barang Jadi (FG);false;;76.0;19.9;15.7;17;20594
3;FGS-00065;Saus Tomat Delmonte @8gr;Barang Jadi (FG);false;;79.0;5.4;5.0;5;1324
3;FGS-00069;Cendol - FG;Barang Jadi (FG);false;;47.2;2.1;3.6;16;3876
3;FGS-00070;Santan Cendol - FG;Barang Jadi (FG);false;;57.7;2.5;3.8;16;4297
3;FGS-00071;Gula Cendol - FG;Barang Jadi (FG);false;;57.7;2.5;3.8;16;4297
3;FGS.00055;Saus Lemon;Barang Jadi (FG);false;;88.6;8.8;55.0;1;550
3;FGS.00056;Saus Spicy;Barang Jadi (FG);false;;77.5;5.7;40.1;5;11215
3;FGS-00006;Club Mineral 330 ml;Minuman - FG;false;;84.2;12.8;3.1;24;3714
3;FGS-00007;7dates Jus Kurma;Minuman - FG;false;;73.6;4.9;1.9;58;18478
3;FGS-00008;7dates Susu Kurma;Minuman - FG;false;;56.4;2.7;2.2;58;34694
3;FGS-00009;Dahagaku Lemon Sereh 250ml;Minuman - FG;false;;53.3;2.4;2.4;58;39918
3;FGS-00014;Club Mineral 600 ml (Menu Pakai Kode CM-600);Minuman - FG;false;;23.7;1.7;6.2;48;99733
3;FGS-00015;Ichi Ocha Melati 350 ml;Minuman - FG;false;;54.5;3.0;2.3;53;30269
3;FGS-00017;Susu Almond - FG;Minuman - FG;false;;59.1;3.0;2.4;58;34276
3;FGS-00035;Gula Asam 250ml;Minuman - FG;false;;84.6;9.1;1.4;58;7268
3;FGS-00037;Kunyit Asam 250ml;Minuman - FG;false;;83.3;7.6;1.3;58;7351
3;FGS-00038;Meet Jelly Coklat;Minuman - FG;false;;78.8;5.9;1.6;58;10788
3;FGS-00039;Meet Jelly Mangga;Minuman - FG;false;;84.2;8.9;1.4;58;7195
3;FGS-00040;Meet Jelly Strawberry;Minuman - FG;false;;80.7;7.0;1.4;58;8934
3;FGS-00041;Meet Jelly Leci;Minuman - FG;false;;88.8;13.3;1.3;58;4688
3;FGS-00050;AirAlam 600 ml (Menu Pakai Kode AA-600);Minuman - FG;false;;16.9;1.2;6.3;58;119304
3;FGS.00053;AirAlam 330 ml (Menu pakai kode AA);Minuman - FG;false;;32.9;1.7;12.9;58;200256
3;PCG-00001;Lunch Box;Packaging;false;;1.9;1.0;55.0;59;2013884
3;PCG-00009;Cup Sambal Dine in;Packaging;false;;4.1;1.1;29.0;59;1029137
3;PCG-00010;Cup Sambal Take Away;Packaging;false;;1.6;1.0;87.8;59;3222735
3;PCG-00021;Gelas 22 Oz;Packaging;false;;38.9;3.3;3.6;50;52709
3;PCG-00030;Rice Bowl 600 ml;Packaging;false;;46.6;2.3;51.1;59;978778
3;PCG-00038;Gelas 16 Oz;Packaging;false;;33.9;1.7;3.6;57;39651
3;PCG-00044;Gelas 14 Oz (Cendol);Packaging;false;;71.7;3.5;8.0;1;136
